Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Sarah Palin	2	I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.	She killed it, but it was nearly dead	/truth-o-meter/statements/2008/sep/03/sarah-palin/she-killed-it-but-it-was-nearly-dead/
Sarah Palin	3	You had supported John McCain's military strategies pretty adamantly until this race.	McCain and Biden agree on military matters? Barely, not adamantly	/truth-o-meter/statements/2008/oct/03/sarah-palin/mccain-and-biden-agree-on-military-matters-barely-/
Sarah Palin	3	Through competition as governor, I got agreements to build a nearly $40-billion natural gas pipeline.	There is no agreement to build, and it's not $40-billion	/truth-o-meter/statements/2008/sep/15/sarah-palin/there-is-no-agreement-to-build-and-its-not-40-bil/
Sarah Palin	4	As unbelievable as it sounds, your tax dollars are funding the federal government's Zombie Apocalypse Plan. I kid you not.	The zombie plans that aren't	/punditfact/statements/2014/may/28/sarah-palin/sarah-palin-federal-government-spending-tax-money-/
Sarah Palin	4	Look at the debt that has been accumulated in the last two years. It's more debt under this president than all those other presidents combined.	Under Obama, debt has piled up, but not that much	/truth-o-meter/statements/2011/jun/01/sarah-palin/sarah-palin-says-obama-has-accumulated-more-debt-p/
Sarah Palin	4	Pls refer to Jan.1 tax changes appropriately: they're OBAMA TAX HIKES & they'll slam every American's savings, investments & job opportunity	Palin's tweet forgets tax cut history	/truth-o-meter/statements/2010/dec/02/sarah-palin/obama-tax-hikes-just-easily-call-them-bush-tax-hik/
Sarah Palin	4	We were promised (the stimulus) would provide 'green jobs' for Americans, but 80% of the $2 billion they spent on alternative energy went to purchase wind turbines built in China!	Chinese wind turbine companies? Not so much.	/truth-o-meter/statements/2010/feb/23/sarah-palin/palin-falsely-claims-most-renewable-energy-stimulu/
Sarah Palin	4	We're building a nearly $40-billion natural gas pipeline, which is North America's largest and most expensive infrastructure project ever.	Palin exaggerates status, cost of pipeline	/truth-o-meter/statements/2008/oct/03/sarah-palin/palin-exaggerates-status-cost-of-pipeline/
Sarah Palin	4	If an Iranian woman shows too much hair in public, she risks being beaten or killed.	Iran ain't Miami Beach, but beatings and killings for immodesty? No	/truth-o-meter/statements/2008/sep/25/sarah-palin/iran-aint-miami-beach-but-beatings-and-killings-fo/
Sarah Palin	5	We're going to be looking at $8 billion a day that we're going to be pouring into foreign countries in order to import that make-up fuel that we're going to need to take the place of what we could have gotten out of the gulf.	Math doesn't add up	/truth-o-meter/statements/2011/jun/03/sarah-palin/palin-claims-loss-gulf-oil-production-gulf-will-co/
Sarah Palin	5	Democrats are poised now to cause this largest tax increase in U.S. history.	Reagan raised taxes higher than the real Dem plan	/truth-o-meter/statements/2010/aug/04/sarah-palin/sarah-palin-said-democrats-planning-largest-tax/
Sarah Palin	5	The truth was revealed there in that report that showed there was no unlawful or unethical activity on my part.	Report finds Palin violated ethics laws	/truth-o-meter/statements/2008/oct/14/sarah-palin/report-finds-palin-violated-ethics-laws/
JoAnne Kloppenburg	3	There are legitimate and widespread anomalies, and widespread questions about the conduct of (the Wisconsin Supreme Court) election, most visibly in Waukesha County, but also in counties around the state.	Most of the issues she cites are minor, normal or already cleared up	/wisconsin/statements/2011/apr/29/joanne-kloppenburg/joanne-kloppenburg-says-anomalies-were-widespread-/
Edward Lindsey	1	As governor, [Mitt Romney] balanced the budget without raising taxes and created jobs.	Argument for Mitt Romney could use a little fine tuning.	/georgia/statements/2011/aug/30/ed-lindsey/georgia-pol-whips-debate-romney-record/
Jim Moran	0	American oil production is at its highest level since 2003.	But it may drop soon	/virginia/statements/2011/may/11/jim-moran/jim-moran-says-us-oil-production-highest-level-03/
Jim Moran	1	We have a system now where in 40 states, the highest-paid public employee is the state universitys head football or basketball coach.	But little of their pay comes from taxpayers	/virginia/statements/2014/dec/22/jim-moran/jim-moran-says-college-coaches-are-highest-paid-pu/
Jim Moran	1	According to ATF data, 70 percent of firearms recovered and traced in drug cartel crimes in Mexico originated from the United States.	 Guns used in crimes but not necessarily drug trafficking	/virginia/statements/2012/may/29/jim-moran/jim-moran-says-70-percent-traced-firearms-mexican-/
Jim Moran	1	The U.S. gun homicide rate is 20 times the combined rate of other western nations.	Numbers are outdated, but close 	/virginia/statements/2012/jan/27/jim-moran/rep-jim-moran-says-us-gun-homicide-rate-20-times-h/
Jim Moran	1	Over the past decade, the big five oil companies --- BP, Chevron, ConocoPhillips, ExxonMobil and Shell -- made a total profit of nearly $1 trillion.	Close, but no cigar	/virginia/statements/2011/apr/11/jim-moran/rep-jim-moran-says-top-five-oil-us-companies-raked/
Jim Moran	3	And the revenue generated by drilling off Virginias coast? $40 million over 10 years.	Omits lucrative royalties	/virginia/statements/2012/mar/23/jim-moran/moran-says-dilling-virginias-coast-will-net-4-mill/
Steve Case	2	Forty percent of the Fortune 500 were started either by immigrants or children of immigrants.	Defining founders is tricky business	/truth-o-meter/statements/2011/jul/06/steve-case/steve-case-says-40-percent-fortune-500-were-starte/
Shirley Turner	0	The judicial system is the most underfunded in this state, able to only pay 52 percent of its obligations. Meanwhile, judges get some of the richest pensions of all public employees.	Underfunded and highly paid	/new-jersey/statements/2012/aug/02/shirley-turner/new-jersey-judges-pension-system-most-underfunded-/
Grover Norquist	1	CBO reports that delaying the Obamacare individual mandate will reduce the deficit by $35 billion over ten years.	Yes, though at the cost of 11 million more uninsured	/truth-o-meter/statements/2013/sep/09/grover-norquist/grover-norquist-says-delaying-obamacare-year-would/
Grover Norquist	1	[E]xcise tax increases drive commerce across state lines.	Light a cigarette to this claim	/georgia/statements/2011/dec/21/grover-norquist/letter-warns-deal-taxes/
Grover Norquist	4	Every time we've cut the capital gains tax, the economy has grown. Whenever we raise the capital gains tax, it's been damaged.	Expert analysis disagrees	/truth-o-meter/statements/2011/jul/19/grover-norquist/grover-norquist-said-economy-has-grown-or-been-dam/
Grover Norquist	5	Withheld union dues fund half of Dem (Democratic) campaigns in Florida.	Not even close	/florida/statements/2011/mar/25/grover-norquist/anti-tax-leader-grover-norquist-said-union-dues-fu/
Peter Roskam	1	Worldwide credit card transactions, the credit card fraud rate is 0.04 percent, compared to almost 8 percent, 9 percent, 10 percent of Medicare fraud.	At the high end of estimates, he's right	/truth-o-meter/statements/2013/jun/17/peter-roskam/rep-roskam-says-medicare-fraud-rate-8-10-percent/
Jim Sullivan	2	We currently have one guy who is in charge of painting the entire Milwaukee County parks system.	One full-timer, sure. But contractors do much of the work	/wisconsin/statements/2011/feb/04/jim-sullivan/milwaukee-county-executive-candidate-jim-sullivan-/
Evan Bayh	0	The fastest-growing part of the Pentagons budget are health care expenses.	Rising fastest	/new-hampshire/statements/2015/apr/21/evan-bayh/former-senator-evan-bayh-says-fastest-growing-defe/
Travis Rowley	2	Last year it was discovered that Rhode Island's public employees ranked 4th in average pay, while the private sector ranked 23rd.	Check your source	/rhode-island/statements/2011/mar/07/travis-rowley/young-republican-chairman-says-rhode-islands-publi/
Travis Rowley	3	The RI Board of Elections has heard official testimony from Providence residents who claim to have witnessed known illegal aliens voting in local elections.	"Residents" means more than one	/rhode-island/statements/2011/jul/31/travis-rowley/young-republican-chairman-says-board-elections-hea/
Travis Rowley	4	Martin Luther King was a Republican.	Not tied to any party	/rhode-island/statements/2012/jan/29/travis-rowley/republican-travis-rowley-says-martin-luther-king-j/
Janet Adkins	3	We have been teaching these (Common Core) standards in Florida schools since 2010.	Florida approved Common Core in 2010 but didn't start phasing implementation until 2011	/florida/statements/2014/mar/28/janet-adkins/florida-has-been-teaching-common-core-2010-says-ja/
Diane Hurley	0	Connecticut's take on slot machines is 25 cents on the dollar. And the state's take on table games: zero.	You can bet on it	/rhode-island/statements/2012/oct/25/diane-hurley/ceo-newport-grand-slot-parlor-says-connecticut-get/
Yvette McGee Brown	0	The first professional baseball team was from an Ohio city.	Cincinnati Red Stockings first to get the green	/ohio/statements/2010/jul/30/yvette-mcgee-brown/ohio-first-state-professional-baseball-team/
Yvette McGee Brown	0	Education Week rates Ohio schools in the top five in the nation.	But the grades aren't that flattering	/ohio/statements/2010/jul/24/yvette-mcgee-brown/lieutenant-governor-candidate-mcgee-brown-boasts-o/
Arlen Specter	0	Congress can tell [the Supreme Court] which cases they ought to hear. We have that authority.	It's all part of the balance of powers	/truth-o-meter/statements/2010/apr/28/arlen-specter/specter-says-congress-can-tell-supreme-court-wh/
Mother Jones	0	Turkeys today weigh 29.8 pounds. In the 30s, they weighed 13.2 pounds.	One reason: artificial insemination	/wisconsin/statements/2014/nov/25/mother-jones/turkeys-today-are-more-twice-fat-they-were-1930s-m/
Brett Smiley	1	Of all cities in the United States with more than 100,000 people, Providence is the 183rd safest.	We're Number 183!	/rhode-island/statements/2013/dec/30/brett-smiley/mayoral-candidate-brett-smiley-says-providence-183/
DBanj	4	The music industry is the biggest export from Africa after oil and gas.	Africa's 'Bono' missed a beat on this claim	/punditfact/statements/2014/aug/07/dbanj/nigerias-bono-claims-music-one-africas-biggest-exp/
Government is Not God PAC	3	Barack Hussein Obama will .. force Christian organizations to pay for abortions.	To some, morning after pill = abortion	/truth-o-meter/statements/2012/sep/26/government-not-god-pac/pac-ad-says-obama-will-force-christian-groups-pay-/
Government is Not God PAC	4	Barack Hussein Obama will ... force Christian schools to hire non-Christian teachers.	A real stretch	/truth-o-meter/statements/2012/sep/26/government-not-god-pac/newspaper-ad-says-barack-obama-will-force-christia/
Government is Not God PAC	5	Barack Hussein Obama will  force doctors to assist homosexuals in buying surrogate babies.	A 'fevered dream'	/truth-o-meter/statements/2012/sep/27/government-not-god-pac/ad-claims-obama-will-force-doctors-assist-homosexu/
Government is Not God PAC	5	Barack Hussein Obama will ... force local authorities to allow Occupy protesters to live in parks.	'Crazy propaganda nonsense'	/truth-o-meter/statements/2012/sep/26/government-not-god-pac/government-not-god-pac-says-obama-wants-allow-occu/
Government is Not God PAC	5	Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.	Divorced from the truth	/truth-o-meter/statements/2012/sep/26/government-not-god-pac/pac-claims-obama-would-force-sharia-law-courts/
Debra Medina	0	At present spending levels, only citizens of New York have a greater local debt burden than Texans.	2nd among big states, 3rd among all 50	/texas/statements/2013/dec/06/debra-medina/texas-near-top-local-debt-capita/
Debra Medina	1	The Texas Department of Transportation... misplaced a billion dollars.	Double-counted funds crippled road projects	/texas/statements/2010/jan/22/debra-medina/medina-said-txdot-lost-1-billion/
